node	descendants	informative_sites
1758	Switzerland/GE-32977331/2021|FR990956.1|21-01-15	241,3037,8782,11230,14408,18877,22227,23403,25487,25563,28144,28878,29742
1900	Turkey/HSGM-2776/2021|EPI_ISL_1095563|2021-02-08,Turkey/HSGM-2778/2021|EPI_ISL_1095565|2021-02-08,Turkey/HSGM-4506/2021|EPI_ISL_1170076|2021-02-16	1122,2509,8782,20262,23520,23948,25218,25541,28144,361,11217,16466,21614,22468,22917,28273
1902	Turkey/HSGM-4506/2021|EPI_ISL_1170076|2021-02-16	1122,2509,8782,20262,23520,23948,25218,25541,28144,3037,5388,5986,9204,14408,16176,18366,21614,22468,23525,23604,23709,24914,27247,27972,28048,28095,28111,28878,29742
1903	Belgium/rega-3206/2021|EPI_ISL_1094192|2021-01-30	829,1122,2509,3037,8047,8782,9204,12988,14408,14697,16293,18366,20262,20268,21614,22127,22468,22879,22917,23063,23403,23520,23525,23876,23948,25218,25541,25947,26972,27247,28144,28878,28975,29742
1950	Italy/SIC-CQRC-19B-21013587/2021|EPI_ISL_1312772|2021-03-18	361,2509,11217,16466,21614,22468,22917,23520,25541,28273
1951	Germany/un-RKI-I-081638/2021|EPI_ISL_1646504|2021-03-11	361,2509,11217,16466,21614,22468,22917,23520,25541,28273,3037,5388,5986,16176,18366,20262,23604,23709,23948,25218,25910,27972,28048,28095,28111,28878
2069	EGY/EGY_CCHE57357_A_48/2020|MW467456.1|20-07-28	2305,2388,7869,16236,16302,21766,21767,21768,25455,25714,25827,27489,28272,29203
2162	Turkey/HSGM-D440/2021|EPI_ISL_1170113|2021-02-16	2305,2388,7869,16236,16302,21766,21767,21768,25455,25714,25827,27489,28272,29203
2163	Turkey/CTF_04032021_M027/2021|EPI_ISL_1662466|2021-03-04,Turkey/CTF_04032021_M028/2021|EPI_ISL_1662469|2021-03-04	2305,2388,7869,16236,16302,21766,21767,21768,25455,25714,25827,27489,28272,29203
2168	France/GES-HMN-21032050228/2021|EPI_ISL_1696042|2021-03-01	241,481,521,1473,2197,3037,6236,8782,10850,11288,11291,11296,12469,14408,15324,16391,17014,17110,20049,21766,21767,21768,21770,21939,22468,22992,23012,23064,23403,23416,23525,23604,24642,24914,25904,27294,27489,28144,28271,28272,28297,28377,28878,28932,29742
2193	UnitedArabEmirates/1049/2020|EPI_ISL_698124|2020-06-11	4002,8782,10097,12534,13536,23593,23731,28144,28846,28878,28881,28882,28883,28908,29742
2195	France/cov-100001860882/2021|OD986687.1|2021-03-12,France/cov-100001877245/2021|OD986920.1|2021-03-12	4002,8782,10097,10850,12534,13536,23593,23731,28846,28878,28881,28882,28883,28908,823,23064
2205	India/GJ-GBRC263b/2020|EPI_ISL_483857|2020-06-12,IND/GBRC263b/2020|MT758683.1|20-06-12	241,4300,8782,14408,18877,19154,21724,22444,22468,25563,26735,28144,28854,28878,29750
2209	India/GJ-GBRC263b/2020|EPI_ISL_483857|2020-06-12,IND/GBRC263b/2020|MT758683.1|20-06-12	241,4300,8782,14408,18877,19154,21724,22444,22468,25563,26735,28144,28854,28878,29750
2562	USA/UN-UW-666/2020|EPI_ISL_476922|2020-03-12,USA/UNKNOWN-UW-666/2020|MT827825.1|20-03-12,USA/WA-UW-1835/2020|EPI_ISL_424282|2020-03-23	95,96,97,98,241,3037,8782,8883,8885,13512,13513,13514,14408,17747,17858,18060,18486,18640,20268,20759,22162,23010,23029,23403,25471,28144,28854,29743
3148	Northern_Ireland/NIRE-10822F/2020|20-04-01,NorthernIreland/NIRE-FA83E/2020|FR995040.1|2020-03-30	241,1150,3037,6696,8170,9890,10833,11001,12880,14408,15324,15654,23403,25522,28747,28917,29543
3393	USA/CA-CHLA-PLM41214732/2020|EPI_ISL_753393|2020-11-20	241,805,3037,4457,4891,5907,11950,12312,14408,15187,15324,17010,17014,23403,23709,26469,27576,28272,28273,28274,28276,28280,28282,28432,28846,28887
3441	Germany/BY-RKI-I-074337/2021|EPI_ISL_1640667|2021-03-08,Germany/BY-RKI-I-074312/2021|EPI_ISL_1640642|2021-03-05,Turkey/HSGM-10743/2021|EPI_ISL_1790166|2021-03-09	241,3037,5388,14408,23063,23403,23604,23709,28111,28280,28281,28282
3884	England/TFCI-2707DC9/2020|20-04-09,England/TFCI-26FA559/2020|EPI_ISL_816821|2020-04-09,England/GSTT-6697/2020|EPI_ISL_561369|2020-03-29,England/GSTT-265E429/2020|20-03-29	241,2480,2558,3037,9561,14408,14805,23403,26144,27880,27881,27882,27883,28881,28882,28883
3886	England/GSTT-6697/2020|EPI_ISL_561369|2020-03-29,England/GSTT-265E429/2020|20-03-29	241,2480,2558,3037,9561,14408,14805,23403,26144,27880,27881,27882,27883,28881,28882,28883,7765,17690,18877,25563,12915,18318,20268,21255
4323	USA/FL-BPHL-0168/2020|MT703986.1|20-04-03,England/CAMB-757C5/2020|EPI_ISL_440467|2020-03-11,Spain/VC-IBV-98004599/2020|EPI_ISL_796064|2020-04-06,Spain/IB-IBV-2509/2020|EPI_ISL_468970|2020-03-17	241,1342,3037,14408,14805,17247,22643,22644,22645,23403,25550,25922,26144,26530
4711	Spain/CE-ISCIII-202293/2020|EPI_ISL_539520|2020-03-12,Spain/CE-ISCIII-203352/2020|EPI_ISL_539521|2020-03-16	241,1342,3037,14408,14805,17247,22643,22644,22645,23403,25550,25922,26144,26530
4719	Spain/AR-IBV-2445/2020|EPI_ISL_468808|2020-03-23,Spain/AR-IBV-2438/2020|EPI_ISL_468812|2020-03-26	241,3037,4543,11497,13993,15654,15766,16889,17019,18877,26144,26735,29399
5002	India/GJ-GBRC24a/2020|EPI_ISL_437453|2020-04-26,IND/GBRC24a/2020|MT451889.1|20-04-26	241,3037,6081,6312,6989,13730,13859,14408,16078,18877,21628,22444,23311,23403,23929,25563,25904,26735,28311,28854
5270	Germany/BY-RKI-I-101238/2021|EPI_ISL_1846778|2021-03-23	174,884,14408,22813,23403,25904,26456,28887,241
5271	Turkey/HSGM-10741/2021|EPI_ISL_1790165|2021-03-09	174,884,14408,22813,23403,25904,26456,28887,241
5272	Turkey/HSGM-B1686/2021|EPI_ISL_1678549|2021-03-29	174,1059,2692,5230,14408,21614,23012,25563,1959,8917,9389,10323,22813,23664,24197,25785,25904,26456,28881,28882,28883,28887
5273	Belgium/UZA-UA-CV2029435919/2021|EPI_ISL_1259232|2021-03-08	174,1059,2692,5230,14408,21614,23012,25563,22813,23063,23664,21801
5274	Belgium/UZA-UA-CV2029224034/2021|EPI_ISL_1305815|2021-02-24	17745,24620,25217,25537,174,913,1059,2692,5230,21614,22813,23271,23604,23709,24506,24914,25904,26456,27972,28048,28111,28280,28281,28282,28881,28882,28883,28887,28977
5310	USA/OH-21AM-088CO00885/2021|EPI_ISL_2200125|2021-03-29	61,241,847,3037,3264,3994,5178,5548,10156,11451,13694,14408,16767,18132,21614,22882,24373,25839,28310,28744,28862,28881,28882,28883
5319	Senegal/SN-MBO-201896/2021|EPI_ISL_1167168|2021-01-29	61,241,847,3037,3264,3994,5178,5548,10156,11451,13694,14408,16767,21614,22882,23403,23593,24373,25839,28744,28862,28881,28882,28883
5325	Senegal/SN-MBO-201859/2021|EPI_ISL_1167125|2021-01-27,Senegal/SN-MBO-211936/2021|EPI_ISL_1167127|2021-02-02	241,3037,5178,6101,7201,8809,8890,13694,18132,21614,24095,24432,25340,25517,25563,27739,27925,28310,28311,28881,28882,28883,5388,14408,23403,23709,24506,28095,28111,11451,21974,22020,28077,19825
5335	Germany/BY-RKI-I-050940/2021|EPI_ISL_1433408|2021-02-23,Germany/BY-RKI-I-040983/2021|EPI_ISL_1287344|2021-02-16	186,241,5629,9526,10156,11497,14408,15766,17019,18877,21724,22992,23403,24442,25563,25710,26876,27877,28975,29399,10297,19662
5337	USA/OH-21AM-091CO00042/2021|EPI_ISL_2153731|2021-04-01	241,685,1059,1263,6312,8083,10319,13446,14408,14805,18424,21304,21952,23403,24087,25563,25907,28472,28869,29409
5374	Germany/BW-RKI-I-039548/2021|EPI_ISL_1285909|2021-02-24	445,2341,4802,6286,20010,20661,21468,22227,23403,26801,28932,29366,29386,29645
5375	Germany/BW-RKI-I-050561/2021|EPI_ISL_1432861|2021-03-04,Germany/BW-RKI-I-039554/2021|EPI_ISL_1285915|2021-02-23	445,2341,4802,6286,20010,20661,21468,22227,23403,26801,28932,29366,29386,29645
5377	Germany/BW-RKI-I-039834/2021|EPI_ISL_1286195|2021-02-25,Germany/BW-RKI-I-039506/2021|EPI_ISL_1285867|2021-02-23	204,445,6286,10864,14408,20995,21255,21291,21614,22227,23403,25621,26801,28932,29645
5379	Germany/BW-RKI-I-039782/2021|EPI_ISL_1286143|2021-02-26,Finland/V3218/2021|EPI_ISL_2031157|2021-02-22,Germany/BW-RKI-I-039495/2021|EPI_ISL_1285856|2021-02-25,Germany/BW-RKI-I-050523/2021|EPI_ISL_1432779|2021-03-01,Germany/BW-RKI-I-039546/2021|EPI_ISL_1285907|2021-02-24	445,6286,8140,21614,22227,23403,26801,28932,29645
5425	Germany/BW-RKI-I-049122/2021|EPI_ISL_1356548|2021-03-04	222,5607,7767,8047,8179,10098,18429,19242,20268,22879,23403,24023,25624,28812,29402,29734
5428	Germany/BW-RKI-I-049138/2021|EPI_ISL_1356564|2021-03-05	222,5607,7767,8047,8179,10098,18429,19242,20268,22879,23403,24023,25624,28812,29402,29734
5498	India/UP-ICMR-715/2020|EPI_ISL_1251266|2020-06,SaudiArabia/KAUST-MAKKAH1635/2020|EPI_ISL_678134|2020-04-26	3833,14408,18877,20994,22444,27164,29335
5584	India/GJ-GBRC209b/2020|EPI_ISL_475038|2020-06-11,IND/GBRC209b/2020|MT664203.1|20-06-11	2292,2836,4300,16512,18568,18877,19154,21724,25563,28854,29750,22444
5675	Indonesia/JI-ITDua-28257NT/2020|EPI_ISL_759968|2020-10-02,Indonesia/BT-EIJK260/2021|EPI_ISL_1284266|2021-02-02	6778,14120,26681,28881,28882,28883,28887,29311
5681	Indonesia/JI-ITD-28656Nv/2020|EPI_ISL_1159382|2020-10-07	14120,17421,18315,28881,28882,28883,28887,29311
5684	Indonesia/JK-FKUPNVJ-07/2020|EPI_ISL_1300535|2020-11-27	5184,6778,14120,17421,18315,26051,26681,27870,28881,28882,28883,28887,29311
5685	Indonesia/JK-EIJK236/2021|EPI_ISL_1284204|2021-01-26,Indonesia/JK-EIJK187/2021|EPI_ISL_1284058|2021-01-15	5184,6778,14120,17421,18315,26051,26681,27870,28881,28882,28883,28887,29311,5806,18877,25335,25563,26735,26894,27643,3096,12053,25088
6132	England/CAMC-13EEC86/2021|21-03-08,Indonesia/BA-EIJK-UNWAR-156/2021|EPI_ISL_2101167|2021-03-22	1059,2455,2893,3096,3768,5184,5497,9928,10319,11195,12513,12880,17012,18424,21302,21304,21305,22219,22282,22879,23604,25907,26735,27964,28472,28869,28887,29422,29718,29743
6133	Indonesia/BA-EIJK-UNWAR-122/2021|EPI_ISL_2101138|2021-03-16,Indonesia/BA-EIJK-UNWAR-121/2021|EPI_ISL_2101137|2021-03-16	1059,2455,2893,3096,3768,5184,5497,9928,10319,11195,12513,12880,17012,18424,21302,21304,21305,22219,22282,22879,23604,25907,26735,27964,28472,28869,28887,29422,29718,29743
6187	SaudiArabia/KAUST-MADINAH281/2020|EPI_ISL_513125|2020-04-01,England/MILK-5169F8/2020|OA981004.1|2020-06-13	2836,4300,16512,18877,19154,22444,26735,28854,25563,29750
6288	Turkey/33-Ankara-GUMV-50642/2020|EPI_ISL_984750|2020-11-20,England/QEUH-C66DF6/2020|OD917798.1|2020-12-14,Germany/SH-ChVir21773/2020|EPI_ISL_849820|2020-12-24,Turkey/HSGM-5112/2021|EPI_ISL_1183615|2021-02-19	5575,11497,12075,13993,16889,17019,19684,21974,22992,25563,26735,28534,28866,29705
6508	Indonesia/JK-EIJK229/2021|EPI_ISL_1284182|2021-01-21,Indonesia/JT-UGM-60901/2020|EPI_ISL_985397|2020-09-22	1059,1190,5184,5547,10319,16710,18877,20176,21614,24274,25121,26735,28881,28882,28883,3037,14408,23403,25563,313,1111,1114,3049,3817,3830,3833,3873,6625,10181,13241,13805,14632,14883,14903,21541,21543,19839,26681,9438
6553	Sweden/20-53777/2020|EPI_ISL_775546|2020-12-18	882,913,4543,5388,5944,5986,6954,6990,9526,11497,13993,15279,18877,23638,24914,25563,25710,27972,28048,28095,28111,28280,28281,28282,28881,28882,28883,28884,29399
6746	India/GJ-GBRC264b/2020|EPI_ISL_483859|2020-06-13,IND/GBRC264b/2020|MT772237.1|20-06-13	2836,4300,16512,18877,19154,22444,26735,28854,2292,18568,21724,25563,29750
6824	Denmark/DCGC-19727/2020|EPI_ISL_749137|2020-12-07,Denmark/DCGC-39233/2020|EPI_ISL_930375|2020-12-07,Denmark/DCGC-17546/2020|EPI_ISL_750180|2020-12-14,Denmark/DCGC-10077/2020|EPI_ISL_669381|2020-11-09,Denmark/DCGC-14267/2020|EPI_ISL_711664|2020-11-30,Denmark/DCGC-49273/2020|EPI_ISL_1125663|2020-11-30,Denmark/DCGC-16264/2020|EPI_ISL_714213|2020-11-16,Denmark/DCGC-50265/2020|EPI_ISL_1126656|2020-11-23,Denmark/DCGC-11269/2020|EPI_ISL_670804|2020-11-02,Denmark/DCGC-63099/2020|EPI_ISL_1871670|2020-11-09	2568,26170,27382,27383,27384,29272
6853	Denmark/DCGC-28212/2021|EPI_ISL_845020|2021-01-11,Denmark/DCGC-26893/2020|EPI_ISL_817822|2020-12-28,Denmark/DCGC-39050/2021|EPI_ISL_930192|2021-01-18,Denmark/DCGC-21822/2020|EPI_ISL_758387|2020-12-21,Denmark/DCGC-25662/2021|EPI_ISL_818584|2021-01-04,Denmark/DCGC-35276/2021|EPI_ISL_926416|2021-01-25,Denmark/DCGC-26502/2021|EPI_ISL_817595|2021-01-04,Denmark/DCGC-25518/2021|EPI_ISL_818540|2021-01-04,Denmark/DCGC-36308/2021|EPI_ISL_927449|2021-01-18,Denmark/DCGC-39462/2021|EPI_ISL_970852|2021-01-25	2568,26170,27382,27383,27384,29272
6854	Denmark/DCGC-37593/2021|EPI_ISL_928734|2021-01-18,Denmark/DCGC-32873/2021|EPI_ISL_869877|2021-01-11,Denmark/DCGC-39864/2021|EPI_ISL_971541|2021-01-25,Denmark/DCGC-34957/2021|EPI_ISL_926097|2021-01-18,Denmark/DCGC-33103/2021|EPI_ISL_870108|2021-01-11,Denmark/DCGC-35546/2021|EPI_ISL_926687|2021-01-25,Denmark/DCGC-32985/2021|EPI_ISL_869989|2021-01-11,Denmark/DCGC-38104/2021|EPI_ISL_929245|2021-01-18,Denmark/DCGC-39317/2021|EPI_ISL_930459|2021-01-18,Denmark/DCGC-37324/2021|EPI_ISL_928465|2021-01-18	2568,26170,27382,27383,27384,29272
6866	Denmark/DCGC-14346/2020|EPI_ISL_711394|2020-11-30,Denmark/DCGC-16139/2020|EPI_ISL_714379|2020-11-16	2568,26170,27382,27383,27384,29272
7153	India/TG-CCMB-AJ815/2020|EPI_ISL_910187|2020-09-13	3267,11596,21034,22444,26173,26209,28048,28183,28277,28854
7389	India/MH-NCCS-87239/2021|EPI_ISL_1384845|2021-02-15	210,3267,3457,4965,7165,10183,11201,17523,18877,20396,21034,21895,22022,22444,22882,22917,23012,23604,24794,24863,25469,25563,26173,26735,27299,27405,27638,28183,28277,28854,28881,29742
7570	Netherlands/UT-RIVM-11964/2021|EPI_ISL_1014088|2021-02-02	913,3267,5388,5986,6954,11224,11291,11296,11941,12043,12242,14676,15279,16176,17615,18877,22444,23063,23271,23604,23709,24506,24914,25563,26735,27972,28048,28280,28281,28282,28854,28881,28882,28883,28977
7618	Germany/BW-RKI-I-014168/2021|EPI_ISL_1144305|2021-02-04,Germany/BW-RKI-I-014219/2021|EPI_ISL_1144356|2021-02-04,Germany/BW-RKI-I-014158/2021|EPI_ISL_1144295|2021-02-04,Germany/BW-RKI-I-014211/2021|EPI_ISL_1144348|2021-01-28	527,9679,10904,11224,11941,12043,12242,12400,18877,21397,22995,23403,25563,29420
7630	Turkey/HSGM-6126/2021|EPI_ISL_1229438|2021-02-25,Turkey/HSGM-6121/2021|EPI_ISL_1225871|2021-02-25	527,1390,5570,7765,8733,9070,9679,10039,11224,11941,12043,12070,12242,12400,13914,14622,16948,17690,18040,19495,19701,22444,22995,25413,26735,28280,28432,28854,28975
7682	Germany/BW-RKI-I-047782/2021|EPI_ISL_1355207|2021-03-01	527,9679,10904,11224,11941,12043,12242,12400,18877,21397,22995,23403,25563,29420
7699	India/GJ-ICMR-NIV-INSACOG-GSEQ-1155/2020|EPI_ISL_1704215|2020-12-17,India/GJ-ICMR-18/2020|EPI_ISL_1164939|2020-05,India/GJ-GBRC162a/2020|EPI_ISL_461495|2020-05-27,IND/GBRC162a/2020|MT576048.1|20-05-27,India/GJ-GBRC24b/2020|EPI_ISL_437454|2020-04-26,IND/GBRC24b/2020|MT451890.1|20-04-26	241,3037,6081,6312,6989,13730,13859,14408,16078,18877,21628,22444,23311,23403,23929,25563,25904,26735,28311,28854
7702	India/GJ-GBRC24b/2020|EPI_ISL_437454|2020-04-26,IND/GBRC24b/2020|MT451890.1|20-04-26	241,3037,6081,6312,6989,13730,13859,14408,16078,18877,21628,22444,23311,23403,23929,25563,25904,26735,28311,28854
7878	India/GJ-GBRC642b/2021|EPI_ISL_2017730|2021-03-28	1947,3431,5653,6196,11259,12068,21630,25855,25936,26060,28416,29402
8244	IND/GBRC-380a/2020|MT954921.1|20-06-18	2836,12919,18877,20994,23663,23997,24811,25563,27164,29335
8249	IND/GBRC-381/2020|MT953925.1|20-06-18,India/GJ-GBRC-406a/2020|EPI_ISL_590689|2020-06-25,India/GJ-GBRC332b/2020|EPI_ISL_512068|2020-07-27,IND/GBRC332b/2020|MT940462.1|20-07-27,India/GJ-GBRC-424a/2020|EPI_ISL_586555|2020-07-14,IND/GBRC424a/2020|MW242778.1|20-07-14	2836,3833,3873,15764,18877,19844,20994,21582,22592,23663,23997,25563,27164,27739,29335
8252	India/GJ-GBRC-406a/2020|EPI_ISL_590689|2020-06-25	2836,3873,15764,18877,19844,20994,21582,22592,23663,23997,25563,27164,27739,29335
8253	India/GJ-GBRC-431a/2020|EPI_ISL_586567|2020-07-06,IND/GBRC431a/2020|MW243587.1|20-07-06	2836,3833,3873,15764,18877,19844,20994,21582,22592,23663,23997,25563,27164,27739,29335,12919
8367	India/GJ-GBRC214b/2020|EPI_ISL_475046|2020-06-11,IND/GBRC214b/2020|MT664729.1|20-06-11,India/GJ-GBRC299b/2020|EPI_ISL_495043|2020-06-15,IND/GBRC299b/2020|MT800816.1|20-06-15	1059,2292,4300,5547,10319,16512,16710,18877,19154,20176,21724,22444,24274,25121,26735,28854,28881,28882,28883,3037,14408,23403,25563,313,1111,1114,3049,3817,3830,3833,3873,6625,10181,13241,13805,14632,14883,14903,21541,21543,9438
8373	IND/GBRC263a/2020|MT758471.1|20-06-12,India/GJ-GBRC272b/2020|EPI_ISL_483871|2020-06-13,IND/GBRC272b/2020|MT759742.1|20-06-13	313,2836,14408,18568,28881,28882,28883
8375	India/GJ-GBRC271a/2020|EPI_ISL_483868|2020-06-13,IND/GBRC271a/2020|MT759582.1|20-06-13,India/GJ-GBRC213a/2020|EPI_ISL_475043|2020-06-11,IND/GBRC213a/2020|MT664793.1|20-06-11	241,2394,2836,3830,3833,6882,8782,16512,16850,18568,18877,21724,22444,23084,23902,23920,23926,25563,28878,29750
8377	India/GJ-GBRC213a/2020|EPI_ISL_475043|2020-06-11,IND/GBRC213a/2020|MT664793.1|20-06-11	241,2292,2394,2836,3830,3833,4300,6882,8782,16512,16850,18568,18877,21724,22444,23084,23902,23920,23926,25563,28878,29750
8380	India/GJ-GBRC298b/2020|EPI_ISL_495041|2020-06-15,IND/GBRC298b/2020|MT800758.1|20-06-15	4300,5700,14408,16512,18568,18877,19154,21724,22444,26735,28854,28881,28882,28883,313,2836,25563,29750,1059,2292,5547,10319,16710,20176,24274,25121,3037,23403,1111,1114,3049,3817,3830,3833,3873,6625,10181,13241,13805,14632,14883,14903,21541,21543,9438
8383	IND/GBRC267b/2020|MT760790.1|20-06-13,India/GJ-GBRC267b/2020|EPI_ISL_483863|2020-06-13	123,241,3037,4300,7321,8782,14408,16512,18877,19154,22444,22468,23403,25563,26735,28144,28854,28878,29742
8384	India/GJ-GBRC208b/2020|EPI_ISL_475036|2020-06-11,IND/GBRC208b/2020|MT664201.1|20-06-11	123,241,3037,4300,7321,8782,14408,16512,18877,19154,22444,22468,23403,25563,26735,28144,28854,28878,29742
8396	India/GJ-GBRC203b/2020|EPI_ISL_475027|2020-06-07,IND/GBRC203b/2020|MT669322.1|20-06-07	1113,2292,2836,4300,12439,16512,18568,18877,19154,20028,21648,21724,22444,23277,23593,24368,25563,25565,25624,26735,27242,27630,28854,28881,28882,28883,28975,29332,29750,29751
8408	India/GJ-GBRC204b/2020|EPI_ISL_475029|2020-06-07,IND/GBRC204b/2020|MT664118.1|20-06-07	2292,2518,4300,16512,18568,19154,21724,28739,29750
